INFO:root:round 53	 loss: 5.993	 reward1: 0.25	 reward2: 0.00	 value: 121.489	 pos_reward_ct: 0
INFO:root:round 54	 loss: 5.973	 reward1: 1.38	 reward2: 0.00	 value: 121.816	 pos_reward_ct: 0
INFO:root:round 55	 loss: 6.014	 reward1: 0.50	 reward2: 1.00	 value: 121.311	 pos_reward_ct: 0
INFO:root:round 56	 loss: 5.793	 reward1: 0.38	 reward2: 1.00	 value: 121.987	 pos_reward_ct: 0
INFO:root:round 57	 loss: 5.836	 reward1: 0.50	 reward2: 0.50	 value: 122.045	 pos_reward_ct: 0
INFO:root:round 58	 loss: 5.563	 reward1: 0.50	 reward2: 1.50	 value: 122.650	 pos_reward_ct: 0
INFO:root:round 59	 loss: 5.534	 reward1: 0.88	 reward2: 2.00	 value: 123.558	 pos_reward_ct: 0
INFO:root:round 60	 loss: 5.646	 reward1: 0.50	 reward2: 1.00	 value: 123.101	 pos_reward_ct: 0
INFO:root:round 61	 loss: 5.495	 reward1: 0.50	 reward2: 2.00	 value: 123.085	 pos_reward_ct: 0
INFO:root:round 62	 loss: 5.436	 reward1: 0.75	 reward2: 3.50	 value: 122.999	 pos_reward_ct: 0
INFO:root:round 63	 loss: 5.412	 reward1: 0.62	 reward2: 1.50	 value: 123.913	 pos_reward_ct: 0
INFO:root:round 64	 loss: 5.552	 reward1: 0.75	 reward2: 1.50	 value: 124.432	 pos_reward_ct: 0
INFO:root:round 65	 loss: 5.384	 reward1: 1.00	 reward2: 1.00	 value: 123.910	 pos_reward_ct: 0
INFO:root:round 66	 loss: 5.442	 reward1: 0.38	 reward2: 3.50	 value: 123.937	 pos_reward_ct: 0
INFO:root:round 67	 loss: 5.414	 reward1: 0.50	 reward2: 2.00	 value: 124.309	 pos_reward_ct: 0
INFO:root:round 68	 loss: 5.441	 reward1: 0.62	 reward2: 3.00	 value: 124.184	 pos_reward_ct: 0
INFO:root:round 69	 loss: 5.087	 reward1: 1.00	 reward2: 1.50	 value: 124.465	 pos_reward_ct: 0
INFO:root:round 70	 loss: 5.097	 reward1: 0.62	 reward2: 1.50	 value: 125.315	 pos_reward_ct: 0
INFO:root:round 71	 loss: 4.975	 reward1: 0.62	 reward2: 3.00	 value: 124.553	 pos_reward_ct: 0
INFO:root:round 72	 loss: 5.084	 reward1: 0.88	 reward2: 1.00	 value: 124.275	 pos_reward_ct: 0
INFO:root:round 73	 loss: 4.937	 reward1: 0.50	 reward2: 3.50	 value: 124.280	 pos_reward_ct: 0
INFO:root:round 74	 loss: 4.937	 reward1: 0.62	 reward2: 4.50	 value: 124.095	 pos_reward_ct: 0
INFO:root:round 75	 loss: 5.043	 reward1: 0.88	 reward2: 0.50	 value: 124.151	 pos_reward_ct: 0
INFO:root:round 76	 loss: 4.872	 reward1: 0.38	 reward2: 1.00	 value: 123.637	 pos_reward_ct: 0
INFO:root:round 77	 loss: 4.684	 reward1: 1.00	 reward2: 1.00	 value: 123.675	 pos_reward_ct: 0
INFO:root:round 78	 loss: 4.776	 reward1: 0.88	 reward2: 0.50	 value: 124.274	 pos_reward_ct: 0
INFO:root:round 79	 loss: 4.736	 reward1: 0.75	 reward2: 0.00	 value: 123.385	 pos_reward_ct: 0
INFO:root:round 80	 loss: 4.685	 reward1: 0.50	 reward2: 3.00	 value: 124.110	 pos_reward_ct: 0
INFO:root:round 81	 loss: 4.717	 reward1: 0.75	 reward2: 1.50	 value: 124.134	 pos_reward_ct: 0
INFO:root:round 82	 loss: 4.607	 reward1: 0.38	 reward2: 2.00	 value: 123.460	 pos_reward_ct: 0
INFO:root:round 83	 loss: 4.614	 reward1: 0.25	 reward2: 0.50	 value: 124.283	 pos_reward_ct: 0
INFO:root:round 84	 loss: 4.529	 reward1: 0.38	 reward2: 1.00	 value: 123.046	 pos_reward_ct: 0
INFO:root:round 85	 loss: 4.680	 reward1: 0.38	 reward2: 0.50	 value: 122.589	 pos_reward_ct: 0
