INFO:root:round 0	 loss: 58.454	 reward1: 0.40	 reward2: 0.00	 value: 12.979	 pos_reward_ct: 0
INFO:root:round 1	 loss: 64.945	 reward1: 0.60	 reward2: 0.00	 value: 14.056	 pos_reward_ct: 0
INFO:root:round 2	 loss: 58.472	 reward1: 0.00	 reward2: 0.00	 value: 14.020	 pos_reward_ct: 0
INFO:root:round 3	 loss: 63.219	 reward1: 0.20	 reward2: 0.00	 value: 14.609	 pos_reward_ct: 0
INFO:root:round 4	 loss: 61.849	 reward1: 0.00	 reward2: 0.00	 value: 15.196	 pos_reward_ct: 0
INFO:root:round 5	 loss: 62.025	 reward1: 0.00	 reward2: 2.00	 value: 15.429	 pos_reward_ct: 0
INFO:root:round 6	 loss: 58.008	 reward1: 0.00	 reward2: 0.00	 value: 15.664	 pos_reward_ct: 0
INFO:root:round 7	 loss: 61.069	 reward1: 0.00	 reward2: 0.00	 value: 15.951	 pos_reward_ct: 0
INFO:root:round 8	 loss: 59.937	 reward1: 0.00	 reward2: 0.00	 value: 16.521	 pos_reward_ct: 0
INFO:root:round 9	 loss: 57.337	 reward1: 0.00	 reward2: 1.00	 value: 16.997	 pos_reward_ct: 0
INFO:root:round 10	 loss: 57.487	 reward1: 0.00	 reward2: 0.00	 value: 17.562	 pos_reward_ct: 0
INFO:root:round 11	 loss: 55.270	 reward1: 0.60	 reward2: 2.00	 value: 17.663	 pos_reward_ct: 0
INFO:root:round 0	 loss: 53.649	 reward1: 0.40	 reward2: 0.00	 value: 12.777	 pos_reward_ct: 0
INFO:root:round 1	 loss: 48.872	 reward1: 0.80	 reward2: 1.00	 value: 13.873	 pos_reward_ct: 0
INFO:root:round 2	 loss: 46.667	 reward1: 0.60	 reward2: 1.00	 value: 15.076	 pos_reward_ct: 0
INFO:root:round 3	 loss: 44.014	 reward1: 0.20	 reward2: 3.00	 value: 16.777	 pos_reward_ct: 0
INFO:root:round 4	 loss: 37.698	 reward1: 0.80	 reward2: 2.00	 value: 17.853	 pos_reward_ct: 0
INFO:root:round 5	 loss: 35.467	 reward1: 0.60	 reward2: 2.00	 value: 18.291	 pos_reward_ct: 0
INFO:root:round 6	 loss: 33.298	 reward1: 0.60	 reward2: 2.00	 value: 19.666	 pos_reward_ct: 0
INFO:root:round 7	 loss: 30.345	 reward1: 0.60	 reward2: 4.00	 value: 20.795	 pos_reward_ct: 0
INFO:root:round 8	 loss: 27.673	 reward1: 1.20	 reward2: 4.00	 value: 22.111	 pos_reward_ct: 0
INFO:root:round 9	 loss: 24.091	 reward1: 0.20	 reward2: 1.00	 value: 23.025	 pos_reward_ct: 0
INFO:root:round 10	 loss: 20.751	 reward1: 0.20	 reward2: 2.00	 value: 24.164	 pos_reward_ct: 0
INFO:root:round 11	 loss: 18.889	 reward1: 0.60	 reward2: 1.00	 value: 25.343	 pos_reward_ct: 0
INFO:root:round 12	 loss: 16.813	 reward1: 0.00	 reward2: 0.00	 value: 26.719	 pos_reward_ct: 0
INFO:root:round 13	 loss: 13.428	 reward1: 1.00	 reward2: 3.00	 value: 27.767	 pos_reward_ct: 0
INFO:root:round 14	 loss: 11.532	 reward1: 1.00	 reward2: 2.00	 value: 29.349	 pos_reward_ct: 0
INFO:root:round 15	 loss: 9.479	 reward1: 0.40	 reward2: 8.00	 value: 30.581	 pos_reward_ct: 0
INFO:root:round 16	 loss: 7.724	 reward1: 0.80	 reward2: 2.00	 value: 31.552	 pos_reward_ct: 0
INFO:root:round 17	 loss: 6.623	 reward1: 2.00	 reward2: 0.00	 value: 33.088	 pos_reward_ct: 0
INFO:root:round 18	 loss: 5.751	 reward1: 0.80	 reward2: 0.00	 value: 34.251	 pos_reward_ct: 0
INFO:root:round 19	 loss: 5.212	 reward1: 0.80	 reward2: 2.00	 value: 36.045	 pos_reward_ct: 0
INFO:root:round 20	 loss: 4.765	 reward1: 0.80	 reward2: 0.00	 value: 37.423	 pos_reward_ct: 0
INFO:root:round 21	 loss: 4.590	 reward1: 0.40	 reward2: 0.00	 value: 38.835	 pos_reward_ct: 0
INFO:root:round 22	 loss: 4.593	 reward1: 0.40	 reward2: 2.00	 value: 40.652	 pos_reward_ct: 0
INFO:root:round 23	 loss: 4.352	 reward1: 0.40	 reward2: 0.00	 value: 42.121	 pos_reward_ct: 0
INFO:root:round 24	 loss: 4.368	 reward1: 0.20	 reward2: 2.00	 value: 44.006	 pos_reward_ct: 0
INFO:root:round 25	 loss: 4.425	 reward1: 0.40	 reward2: 2.00	 value: 45.850	 pos_reward_ct: 0
INFO:root:round 26	 loss: 4.392	 reward1: 0.40	 reward2: 3.00	 value: 47.599	 pos_reward_ct: 0
INFO:root:round 27	 loss: 4.610	 reward1: 0.20	 reward2: 2.00	 value: 49.472	 pos_reward_ct: 0
INFO:root:round 28	 loss: 4.799	 reward1: 1.00	 reward2: 0.00	 value: 51.446	 pos_reward_ct: 0
INFO:root:round 29	 loss: 5.199	 reward1: 0.20	 reward2: 3.00	 value: 53.398	 pos_reward_ct: 0
INFO:root:round 30	 loss: 5.214	 reward1: 0.60	 reward2: 1.00	 value: 56.017	 pos_reward_ct: 0
INFO:root:round 31	 loss: 5.461	 reward1: 0.80	 reward2: 1.00	 value: 58.037	 pos_reward_ct: 0
INFO:root:round 32	 loss: 5.599	 reward1: 0.80	 reward2: 2.00	 value: 60.532	 pos_reward_ct: 0
INFO:root:round 33	 loss: 5.826	 reward1: 0.60	 reward2: 1.00	 value: 62.084	 pos_reward_ct: 0
INFO:root:round 34	 loss: 6.370	 reward1: 1.20	 reward2: 1.00	 value: 64.692	 pos_reward_ct: 0
INFO:root:round 35	 loss: 6.687	 reward1: 0.60	 reward2: 4.00	 value: 66.985	 pos_reward_ct: 0
INFO:root:round 36	 loss: 7.453	 reward1: 0.20	 reward2: 0.00	 value: 69.105	 pos_reward_ct: 0
INFO:root:round 37	 loss: 7.706	 reward1: 0.80	 reward2: 1.00	 value: 72.395	 pos_reward_ct: 0
INFO:root:round 38	 loss: 8.148	 reward1: 0.60	 reward2: 0.00	 value: 73.356	 pos_reward_ct: 0
INFO:root:round 39	 loss: 8.225	 reward1: 0.40	 reward2: 1.00	 value: 76.018	 pos_reward_ct: 0
INFO:root:round 40	 loss: 8.628	 reward1: 0.80	 reward2: 1.00	 value: 77.671	 pos_reward_ct: 0
INFO:root:round 41	 loss: 9.316	 reward1: 0.80	 reward2: 2.00	 value: 79.638	 pos_reward_ct: 0
INFO:root:round 42	 loss: 9.570	 reward1: 0.40	 reward2: 3.00	 value: 81.650	 pos_reward_ct: 0
INFO:root:round 43	 loss: 9.965	 reward1: 0.20	 reward2: 1.00	 value: 83.308	 pos_reward_ct: 0
INFO:root:round 44	 loss: 10.204	 reward1: 0.40	 reward2: 1.00	 value: 86.393	 pos_reward_ct: 0
INFO:root:round 45	 loss: 10.686	 reward1: 0.80	 reward2: 2.00	 value: 88.504	 pos_reward_ct: 0
INFO:root:round 46	 loss: 11.600	 reward1: 1.00	 reward2: 0.00	 value: 89.740	 pos_reward_ct: 0
